Date,Current Temperature,HI,LO,+/-,Inventory,Alley Scraped,Scraper Ran Y/N,Comments
01-May,68.9,70,67.1,KT,"75
                   66",Y,Y,All good
02-May,68.7,73,67.3,-4,"71
                   66",Y,Y,All good
03-May,68.6,70.4,67.2,,,Y,Y,all good
04-May,68.4,69.6,66.7,,,Y,Y,All good
05-May,68.3,69,67,"-4
                     +4","67
                   70",Y,Y,All good
06-May,68.3,72.4,67.2,,"67
                   56",Y,Y,All good                 6B Clogged
07-May,68.6,68.8,67,,,Y,Y,All good                 6B Clogged
08-May,68,75.5,66.6,,,Y,Y,All good
09-May,65.3,68.6,63.7,,,Y,Y,All good
10-May,67.9,69.3,65.4,,,Y,Y,All good
11-May,67.6,78.9,66.3,,,Y,Y,All good
12-May,68.1,74.2,66.4,,,Y,Y,All good                 left side feed bin empty
13-May,68.2,78.7,66.6,,"67
                   55",Y,Y,All good
14-May,68.5,71.8,67.3,,,Y,Y,All good
15-May,68,76.7,67,,,Y,Y,All good
16-May,67.7,81.5,67,,,Y,Y,All good                 11A Clogged
17-May,67,81.5,67,,,Y,Y,All good
18-May,66.7,68.2,66.1,,,Y,Y,All good
19-May,67.3,68.1,65.8,,,Y,Y,All good
20-May,67.1,68,67.1,,,Y,Y,All good
21-May,67,67.3,67,,,N,Y,"All good                 L bin empty, throw up in 2B"
22-May,66.1,67.3,65.2,,"57
                  47",N,Y,All good                 6B Clogged
23-May,66.4,67.1,65,,,Y,Y,All good                 6D Clogged
24-May,66.8,66.5,64.5,,,Y,Y,All good
25-May,66.9,67.6,64.8,,,Y,Y,All good
26-May,66.6,69.4,64.5,-2,"57
                  45",Y,Y,All good                 6B Clogged
27-May,66,72.5,65.3,"-1
                     -1","56
                  44",Y,Y,All good
28-May,66.4,73.1,65.6,,,Y,Y,All good
29-May,66.3,69.7,65.8,-13,84,Y,Y,All good                 6A feeder clogged
30-May,66.2,68.9,64.7,,,Y,Y,All good                 6B Clogged
31-May,65.6,74.8,62.7,,,Y,Y,All good
01-Jun,65.8,67.1,64.3,,,N,Y,All good
