Date,Current Temperature,HI,LO,+/-,Inventory,Comments
01-May,68.2,72.5,67.8,,,all good
02-May,73.6,74.3,67.9,,,All good
03-May,70.3,74.1,67.6,,,All good
04-May,68,70.3,66.5,,,All good
05-May,67,69.7,66.8,,,All good
06-May,72.5,73.9,67,,72,All good
07-May,69.5,75.7,69.2,,,All good
08-May,67.5,76,66.9,,,All good
09-May,69.2,69.6,66.8,,67,All good
10-May,69.3,71.6,66.9,,,All good
11-May,67.5,78.2,66.9,,,All good
12-May,67.3,73.4,66.9,,,All good
13-May,71.6,78.4,66.9,-4,,All good
14-May,70.9,72.6,70.4,-10,34,All good                   L7 Clogged
15-May,69.4,75.4,68.8,,,All good
16-May,70.1,81,69.5,-17,17,All good
17-May,67.8,80.6,67.3,,,All good
18-May,67.3,69.8,66.9,,,All good
19-May,68.5,69.8,66.8,,,All good
20-May,68.9,59.7,66.7,-17,0,All good
21-May,,,,,,
22-May,,,,,,
23-May,,,,,,
24-May,,,,,,A
25-May,,,,,,
26-May,,,,,,
27-May,77,,,,,All good
28-May,76.6,79.6,76.2,,,
29-May,78.6,78.9,76.6,,,All good                   Denagard Started
30-May,78.3,79.2,76.3,,,All good
31-May,77.3,80.8,75.8,,,All good
01-Jun,77.3,78.4,75.6,,,All good
