Date,HI,LO,Current Temperature AM,Current Temperature Noon,Current Temperature PM,Inventory,Inventory 2,Comments
01-May,71,68.3,69.4,69.8,70.9,,,
02-May,75,68.7,69.6,70.1,70.3,,,
03-May,71.9,68.7,69.3,69.7,69.7,,,
04-May,70,66.5,68.9,68.8,68.8,,,
05-May,70.9,66,69.2,69.7,72.1,,,
06-May,74.3,68.3,70.9,69.2,70.8,,,
07-May,71.5,68.8,70.3,72.3,76.4,,,
08-May,77.7,68.7,70,69.8,71.3,,,
09-May,71.8,68.6,69.8,69.7,71.8,,,
10-May,72.4,68.4,70.9,69.4,78.3,,,
11-May,78.9,68.7,70,69.6,74.8,,,
12-May,75.7,68.7,71,,72.6,,,
13-May,,,,,,,,
14-May,,,,,,,,
15-May,,,,,,,,
16-May,,,,,,,,
17-May,,,,,,,,
18-May,,,,,,,,
19-May,,,,,,,,
20-May,,,,,,,,
21-May,,,,,,,,
22-May,,,,,72.6,,,
23-May,78.4,63.4,74.3,73.2,74.5,,,
24-May,74.6,72.3,72.9,73.7,75.9,,,
25-May,76,72,72.6,74.3,78,,,
26-May,78,72.5,72.8,75.8,79.6,,,
27-May,80.6,77.6,74.5,75.1,76.6,,,
28-May,76.9,73.8,76.1,,75.1,,,
29-May,75.8,74.4,74.6,74.8,75.2,,,
30-May,76.1,73.8,75.5,74.7,77.9,,,
31-May,78.1,72.4,73,73.5,73.8,,,
01-Jun,72.2,76.1,75,,,,,
