Date,HI,LO,Current Temperature AM,Current Temperature Noon,Current Temperature PM,Inventory,Inventory 2,Comments
01-May,73.3,69.4,70.6,70.8,73.7,,,
02-May,75.9,69.4,70.2,73.6,72.7,,,
03-May,74.3,69.4,70.8,70.2,72.4,,,
04-May,72.5,69.3,69.4,70.3,70.4,,,
05-May,71.1,69.2,69.9,71.5,76.6,,,
06-May,79,69.5,72,71.7,73.2,,,
07-May,73.7,70,71,74.1,79.1,,,
08-May,80.4,69.4,70.7,71.4,72.6,,,
09-May,73.7,69.4,69.5,70.9,73.7,,,
10-May,74.5,69.3,70.9,71.1,79.5,,,
11-May,81.2,69.3,71,70.9,77.2,,,
12-May,78.1,69.3,73,,72.4,,,
13-May,78.9,65.5,73.9,,,,,
14-May,,,,,,,,
15-May,,,,,,,,
16-May,,,,,,,,
17-May,,,,,,,,
18-May,,,,,,,,
19-May,,,,,,,,
20-May,,,,,,,,
21-May,78.1,69.3,73,,72.4,,,
22-May,78.4,65.5,73.9,74.4,73.6,,,
23-May,74.8,72.1,74.1,72.6,75.2,,,
24-May,75.3,72.5,72.8,73.8,75.9,,,
25-May,77.1,72.4,72.8,74.8,76.1,,,
26-May,,,74,,,,,
27-May,77.1,72.6,74.9,75.2,75.4,,,
28-May,77,74.6,75.1,,76.2,,,
29-May,76.5,75,75,75.5,75.5,,,
30-May,77,74.7,75.3,76.8,77.1,,,
31-May,76.1,74.1,74.3,75.4,74.4,,,
01-Jun,75.5,73.3,73.8,,,,,
