Date,Current Temperature,HI,LO,+/-,Inventory,Comments
01-May,78.2,79.1,76,KT,148,All good                Bin Empty
02-May,78.1,78.8,72.9,32,180,All good
03-May,76.7,78.5,75.9,,,All good
04-May,77.3,77.9,74.9,,,All good
05-May,76.7,77.5,75,,,All good
06-May,76.5,79.5,76,,,All good
07-May,77.6,78.4,76,,,All good
08-May,76.4,78.8,73.9,,,All good
09-May,74.8,77.1,73.8,,183,All good
10-May,75.4,77.1,73.3,,,All good
11-May,74.3,77.9,73.3,,,All good
12-May,73.6,76.7,72.8,-20,,All good
13-May,73.2,77.3,72.9,,66,All good
14-May,73,75.9,72.4,-3,36,All good
15-May,74,75.7,72,,,All good
16-May,73.4,80,72,,,All good
17-May,74.6,79.4,71.9,,,All good
18-May,72.7,75.2,71.6,,,All good
19-May,73.5,75,71.6,,,All good
20-May,74.1,75.2,71.4,,,All good
21-May,71.5,74.9,71,,,All good
22-May,73.3,74.7,70.9,,,All good
23-May,71.9,74.2,70.7,,,All good                ML2 Clogged
24-May,,,,,,
25-May,,,,,,
26-May,,,,,,
27-May,,,,,,
28-May,,,,,,
29-May,,,,,,
30-May,,,,,,
31-May,,,,,,
01-Jun,,,,,,
