Date,HI,LO,Current Temperature AM,Current Temperature Noon,Current Temperature PM,Inventory,Inventory 2,Comments
01-May,74.3,68.9,70.4,70.1,73.5,,,
02-May,77,69,70.8,73.8,72.7,,,
03-May,73.9,69,69.9,69.6,71.6,,,
04-May,79.7,68.9,69.3,69.2,70.2,,,
05-May,71.5,69,70.4,70.9,77.3,,,bin empty
06-May,77.2,69.5,71,71.2,73.7,,,
07-May,74.1,69.4,70.7,73.8,79.8,,,
08-May,80.9,69.2,69.6,76.8,72.9,,,
09-May,73.7,68.9,69.3,69.4,74.8,,,
10-May,75.8,68.8,70.9,70.8,79.3,,,
11-May,81,68.9,69.8,71,77.3,,,
12-May,79.2,69.2,71.2,,72.8,,,
13-May,81.3,65.7,73.4,,,,,
14-May,,,,,,,,
15-May,,,,,,,,
16-May,,,,,,,,
17-May,,,,,,,,
18-May,,,,,,,,
19-May,,,,,,,,
20-May,,,,,,,,
21-May,79.2,69.2,71.2,,72.8,,,
22-May,81.3,65.7,73.4,73.2,73.5,,,
23-May,74.9,72.3,74.5,73,76.3,,,
24-May,77.6,72.5,74.7,76.3,78.2,,,
25-May,78.3,72.5,72.6,74.5,77.6,,,
26-May,,,,,,,,
27-May,76.4,72.6,76.4,79,75.9,,,
28-May,79.3,74.7,74.9,,76.3,,,
29-May,77,74.8,75.2,75.1,75.6,,,
30-May,76.8,74.2,74.4,76.6,77.4,,,
31-May,78,74.4,74.7,73.8,74.2,,,
01-Jun,74.6,72.9,74.1,,,,,
